retraining_dataset_no, ewc_lambda, lr_init, momentum_init, lr_cont, momentum_cont, dataset_no, dataset_size, acc
2, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 77.560000
2, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 28.980000
2, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 83.230000
2, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 26.620000
2, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 81.870000
2, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 26.520000
2, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 85.470000
2, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 25.660000
2, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 88.310000
2, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 25.460000
2, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 88.030000
2, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 25.020000
2, 6.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 88.960000
2, 6.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 21.820000
2, 7.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 89.560000
2, 7.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 21.840000
2, 8.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 89.920000
2, 8.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 22.740000
2, 9.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 91.370000
2, 9.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 23.180000
2, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 91.270000
2, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 25.000000
2, 11.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 91.560000
2, 11.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 21.230000
2, 12.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 91.160000
2, 12.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 18.450000
2, 13.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 92.060000
2, 13.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 23.930000
2, 14.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 92.040000
2, 14.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 23.390000
2, 15.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 92.170000
2, 15.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 18.180000
2, 16.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 92.390000
2, 16.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 19.670000
2, 17.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 92.520000
2, 17.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 22.560000
2, 18.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 92.920000
2, 18.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 17.140000
2, 19.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 92.630000
2, 19.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 600, 19.470000
