current_training_dataset_no, current_training_dataset_size, ewc_lambda, lr_init, momentum_init, lr_cont, momentum_cont, evaluation_dataset_no, evaluation_dataset_size, acc
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 95.150000
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 5.380000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 58.030000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.250000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 96.730000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.610000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 72.620000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 90.920000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.020000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.270000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 45.710000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 90.080000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.730000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.810000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 77.770000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 88.050000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.610000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.820000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 82.570000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.830000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.880000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.380000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 39.870000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.450000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.870000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.570000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 71.840000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 85.790000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.100000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.330000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 73.940000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 88.420000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.180000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.420000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 89.580000
1, 60000, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 85.680000
