task_no ,ewc_lambda, lr, acc_old_tasks, acc_new_task
1, 0.000000, 0.001000, 14.060000, 78.520000
1, 1.000000, 0.001000, 37.800000, 70.650000
1, 2.000000, 0.001000, 47.850000, 68.470000
1, 3.000000, 0.001000, 56.720000, 65.900000
1, 4.000000, 0.001000, 58.920000, 62.950000
1, 5.000000, 0.001000, 67.250000, 60.210000
1, 6.000000, 0.001000, 68.820000, 58.950000
1, 7.000000, 0.001000, 73.040000, 57.050000
1, 8.000000, 0.001000, 76.660000, 53.750000
1, 9.000000, 0.001000, 80.620000, 50.660000
1, 10.000000, 0.001000, 78.330000, 51.580000
1, 11.000000, 0.001000, 83.240000, 48.470000
1, 12.000000, 0.001000, 83.230000, 46.800000
1, 13.000000, 0.001000, 84.720000, 45.870000
1, 14.000000, 0.001000, 84.290000, 44.910000
1, 15.000000, 0.001000, 85.220000, 43.450000
1, 16.000000, 0.001000, 85.630000, 42.740000
1, 17.000000, 0.001000, 86.360000, 42.350000
1, 18.000000, 0.001000, 87.170000, 42.750000
1, 19.000000, 0.001000, 86.620000, 42.450000
