task_no ,ewc_lambda, lr, acc_old_tasks, acc_new_task, new_data_size
1, 0.000000, 0.001000, 94.760000, 59.660000, 15000
1, 1.000000, 0.001000, 96.940000, 45.220000, 15000
1, 2.000000, 0.001000, 97.200000, 41.790000, 15000
1, 3.000000, 0.001000, 97.380000, 39.970000, 15000
1, 4.000000, 0.001000, 97.590000, 35.730000, 15000
1, 5.000000, 0.001000, 97.510000, 34.800000, 15000
1, 6.000000, 0.001000, 97.820000, 29.320000, 15000
1, 7.000000, 0.001000, 97.600000, 31.940000, 15000
1, 8.000000, 0.001000, 97.590000, 32.240000, 15000
1, 9.000000, 0.001000, 97.860000, 27.470000, 15000
1, 10.000000, 0.001000, 97.630000, 30.870000, 15000
1, 11.000000, 0.001000, 97.660000, 29.560000, 15000
1, 12.000000, 0.001000, 97.720000, 28.730000, 15000
1, 13.000000, 0.001000, 97.910000, 25.700000, 15000
1, 14.000000, 0.001000, 97.700000, 28.250000, 15000
1, 15.000000, 0.001000, 97.730000, 27.420000, 15000
1, 16.000000, 0.001000, 97.780000, 27.310000, 15000
1, 17.000000, 0.001000, 97.770000, 26.800000, 15000
1, 18.000000, 0.001000, 97.770000, 26.210000, 15000
1, 19.000000, 0.001000, 97.800000, 24.990000, 15000
