ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,2,60000,1000,1000,0.000100,50.00,98.73,98.83,21.70,23.60,21.70,23.60,98.73,98.83,21.70,23.60,21.70,23.60,97.73,97.82,69.00,70.00,69.00,70.00
1,2,60000,1000,2000,0.000100,20.00,98.73,98.83,22.90,22.80,22.30,23.20,97.73,97.82,12.00,12.80,40.50,41.40,97.52,97.74,76.60,76.00,70.95,71.00
2,1,60000,1000,3000,0.000300,70.00,98.73,98.83,43.50,48.00,29.37,31.47,97.52,97.74,33.60,36.00,58.50,59.33,97.22,97.57,92.40,93.20,71.13,70.93
3,0,60000,1000,4000,0.000200,100.00,98.73,98.83,41.60,47.20,32.42,35.40,97.22,97.57,48.40,49.60,65.45,65.60,97.38,97.63,77.40,74.40,70.55,71.90
4,2,60000,1000,5000,0.000300,100.00,98.73,98.83,38.30,35.20,33.60,35.36,97.38,97.63,33.20,34.00,63.08,64.32,97.03,97.30,59.50,58.40,71.02,72.24
5,1,60000,1000,6000,0.000400,80.00,98.73,98.83,19.00,22.40,31.17,33.20,97.03,97.30,8.10,6.00,60.53,61.20,95.93,96.15,62.60,64.00,69.37,70.00
6,0,60000,1000,7000,0.000500,100.00,98.73,98.83,30.10,30.40,31.01,32.80,95.93,96.15,45.80,47.20,66.00,66.74,95.28,95.57,77.20,78.80,70.01,70.00
7,0,60000,1000,8000,0.000900,100.00,98.73,98.83,42.10,44.40,32.40,34.25,95.28,95.57,36.60,38.00,65.84,66.00,94.44,94.90,80.30,82.00,70.11,70.15
8,0,60000,1000,9000,0.001000,40.00,98.73,98.83,28.30,26.40,31.94,33.38,94.44,94.90,0.80,0.80,62.41,62.44,95.43,95.95,46.40,43.20,71.10,71.33
9,0,60000,1000,10000,0.001000,30.00,98.73,98.83,33.30,33.20,32.08,33.36,95.43,95.95,32.20,32.00,67.21,67.40,94.55,95.09,72.50,70.80,70.79,70.64
10,2,60000,1000,11000,0.001000,20.00,98.73,98.83,55.90,54.40,34.25,35.27,94.55,95.09,25.70,26.80,66.69,66.65,93.53,94.08,70.60,69.60,71.34,71.16
11,2,60000,1000,12000,0.002000,70.00,98.73,98.83,37.70,39.20,34.53,35.60,93.53,94.08,37.80,41.20,68.54,68.67,94.73,95.18,75.30,80.00,71.45,70.90
